country;geoname_id;latitude;longitude;north;east;south;west;en;cs;ru
TH;1609350;13.75398;100.50144;14.047239531812492;100.80374454913354;13.460718468187507;100.19914345086647;Bangkok;Bangkok;Бангкок
TL;1645457;-8.55861;125.57361;-8.508335075065133;125.6244466028074;-8.608887124934867;125.52277559719259;Dili;Dili;Дили
TR;323786;39.91987;32.85427;40.16328511547819;33.172784064979666;39.67646363552721;32.535757805137536;Ankara;Ankara;Анкара
TM;162183;37.95;58.38333;38.060698628069204;58.52392832972728;37.8393013719308;58.24273827027271;Ashgabat;Ašchabad;Ашхабад
AE;292968;24.46667;54.36667;24.56741965326658;54.47744842924988;24.365913746733423;54.255884970750124;Abu Dhabi;Abú Zabí;Абу-Даби
UZ;1512569;41.26465;69.21627;41.44719756791271;69.45981288070588;41.08209530408837;68.9727280128488;Tashkent;Taškent;Ташкент
VN;1581130;21.0245;105.84117;21.179759220233763;106.00767072773256;20.8692503223147;105.67466798686705;Hanoi;Hanoj;Ханой
YE;71137;15.35472;44.20667;15.535380205344076;44.39417579399228;15.174063794655925;44.019158206007724;Sanaa;Saná;Сана
PS;7303419;31.78336;35.23388;31.86820552099981;35.33378899440909;31.69851369574119;35.13397872104511;East Jerusalem;Východní Jeruzalém;Восточный Иерусалим
TW;1668341;25.04776;121.53185;25.411950253837773;121.93504439678792;24.683575746162226;121.12864760321209;Taipei;Tchaj-pej;Тайбэй
AD;3041563;42.50779;1.52109;42.52633402441572;1.5462498323355864;42.489252260653885;1.4959330900276948;Andorra la Vella;Andorra la Vella;Андорра-ла-Велья
AL;3183875;41.3275;19.81889;41.40692975508835;19.924790857358637;41.24807024491165;19.712986942641365;Tirana;Tirana;Тирана
AT;2761369;48.20849;16.37208;48.37728347728398;16.62620030543461;48.039692043046614;16.117949856308588;Vienna;Vídeň;Вена
BA;3191281;43.84864;18.35644;43.95693923233895;18.506880307456274;43.74034348824146;18.205995058754727;Sarajevo;Sarajevo;Сараево
BE;2800866;50.85045;4.34878;50.981471745733586;4.556903881208461;50.719418364785014;4.14066310487552;Brussels;Brusel;Брюссель
BG;727011;42.69751;23.32415;42.83684253552924;23.51415088073971;42.55818452083176;23.13414166076429;Sofia;Sofia;София
BY;625144;53.9;27.56667;54.071293006731686;27.858587972178363;53.72870699326831;27.274745427821635;Minsk;Minsk;Минск
CH;2661552;46.94809;7.44744;46.978861051988375;7.48653166505915;46.92727613128348;7.359933242089403;Bern;Bern;Берн
CY;146268;35.17531;33.3642;35.23342077781715;33.43534092381132;35.117197222182845;33.29305107618868;Nicosia;Nikósie;Никосия
CZ;3067696;50.08804;14.42076;50.22816786672407;14.639794330292156;49.94791792105773;14.201720257110244;Prague;Praha;Прага
DE;2950159;52.52437;13.41053;52.764643384684014;13.807619826518279;52.284092945584554;13.013440354145784;Berlin;Berlín;Берлин
DK;2618425;55.67594;12.56553;55.81534048292722;12.813633417614101;55.53653737163298;12.3174205069465;Copenhagen;Kodaň;Копенгаген
EE;588409;59.43696;24.75353;59.518399295724535;24.914077846486357;59.355517389247865;24.592977436106445;Tallinn;Tallinn;Таллин
ES;3117735;40.4165;-3.70256;40.65072578667785;-3.3938449928832797;40.18227840162254;-4.011283486120621;Madrid;Madrid;Мадрид
FI;658225;60.16952;24.93545;60.266493629696534;25.13096077191538;60.07255585925447;24.73993079912962;Helsinki;Helsinky;Хельсинки
FR;2988507;48.85341;2.3488;49.043237783289044;2.638397091854524;48.66358221671095;2.0592029081454766;Paris;Paříž;Париж
UK;2643743;51.50853;-0.12574;51.865368153380956;0.45212493672385795;51.15168939834484;-0.7036088539601859;London;Londýn;Лондон
GR;264371;37.97945;23.71622;38.08520103940226;23.850572104320555;37.873706826750144;23.581869607105247;Athens;Athény;Афины
HR;3186886;45.81444;15.97798;45.922928099206906;16.133935865161494;45.705959235549294;15.822031084301305;Zagreb;Záhřeb;Загреб
HU;3054643;47.49801;19.03991;47.6692439600221;19.294186606945182;47.3267760185861;18.78562830394342;Budapest;Budapešť;Будапешт
